-0.51038927	-0.04028784	0.5676821	0.6240294	0.73111427	0.6497174	-0.31509367	0.67228633	-0.6222061	-0.2123764	0.68046105	-0.61661977	0.37790897	0.59323984	0.407104	0.178983
-0.5460753	-0.04187528	0.65680516	0.6468542	0.7567847	0.721851	-0.39364597	0.77804565	-0.64792734	-0.22498104	0.7442511	-0.71119595	0.41495278	0.6633579	0.49947834	0.1534398
-0.36417088	-0.08163971	0.44820392	0.46851045	0.5714034	0.55405194	-0.24490088	0.5108524	-0.4744459	-0.14002249	0.521427	-0.55338097	0.23627874	0.4909797	0.29856893	0.11108
-0.42266783	-0.12881343	0.59436196	0.529806	0.66844296	0.5917174	-0.30089822	0.6458364	-0.5804949	-0.16373922	0.6553573	-0.59484863	0.32563543	0.55470544	0.3308257	0.05374196
-0.31454265	-0.023644693	0.38714564	0.47006127	0.48647532	0.43042415	-0.2874534	0.5100646	-0.46385455	-0.1539873	0.4446435	-0.46338648	0.26019958	0.38086528	0.36609814	0.0674748
-0.37967256	-0.09109057	0.4341862	0.4095898	0.56455827	0.46713206	-0.27201203	0.48975223	-0.4765743	-0.17637366	0.5424765	-0.51937056	0.29573655	0.4154582	0.2882987	0.04974539
-0.3622899	-0.07851951	0.49993476	0.4804189	0.5472078	0.4704837	-0.17891586	0.53651214	-0.45665255	-0.11272547	0.50190926	-0.49465138	0.32354578	0.46385193	0.24636203	0.05177472
-0.28541192	-0.00093665393	0.30864927	0.3254857	0.32342574	0.32747924	-0.311118	0.38017932	-0.32912648	-0.02731266	0.37185085	-0.29085606	0.18165502	0.27020922	0.35589167	0.15837191
-0.33461922	-0.022742627	0.3433578	0.35097238	0.3831087	0.37919268	-0.2039944	0.35848466	-0.360755	-0.06695408	0.34720215	-0.34114355	0.26298776	0.35882506	0.23990804	0.06524843
-0.22205873	0.037593402	0.24530625	0.26279223	0.27134216	0.24983619	-0.34938124	0.2483619	-0.20174749	-0.013520213	0.26179972	-0.2557156	0.11818197	0.1934868	0.33532393	0.1649084
-0.37396955	-0.14250755	0.41239825	0.4257175	0.5422655	0.50247586	-0.09306403	0.4628273	-0.44449583	-0.2340946	0.49713373	-0.44933292	0.33948255	0.49413022	0.102288775	-0.054903284
-0.3792261	-0.112301074	0.38065472	0.3416184	0.43893966	0.38322058	-0.099730045	0.38786644	-0.40448168	-0.19115625	0.37273097	-0.3958518	0.3111786	0.33666176	0.16371529	-0.028247267
-0.3686061	-0.1535253	0.44246224	0.43926084	0.47164428	0.45125577	-0.015184928	0.487757	-0.49438003	-0.26798022	0.41815308	-0.39183846	0.34554347	0.45349595	0.045818962	-0.07499275
-0.33993834	-0.17975347	0.4023129	0.3763896	0.46531197	0.46769273	0.04160877	0.44392288	-0.38983843	-0.20812005	0.4514795	-0.43616468	0.30721948	0.366129	0.015626308	-0.19483916
-0.30368143	-0.16023967	0.33084118	0.36396703	0.43071222	0.35627058	-0.0050670328	0.39900252	-0.35701337	-0.19667046	0.42133084	-0.40353024	0.23122226	0.32815677	0.038422	-0.08694908
-0.31458232	-0.16180894	0.33646053	0.36195058	0.3941459	0.35125297	-0.026649652	0.39040765	-0.39957944	-0.23310882	0.37330818	-0.29908708	0.28911602	0.30453953	0.047611285	-0.10719586
-0.2848829	-0.03693294	0.29264677	0.319046	0.3594736	0.36655024	-0.14608152	0.3256073	-0.34349737	-0.12523857	0.36885685	-0.28521234	0.13754098	0.27185747	0.13387987	0.0069944765
-0.37249082	-0.16575009	0.3918589	0.4329752	0.44946924	0.41268244	-0.020715734	0.45994663	-0.4617196	-0.25240466	0.44243607	-0.39312163	0.29804876	0.4268716	0.030790132	-0.162653
